# WARNING: this file is not sorted!
# db	motif                         	 E-value	adj_p-value	log_adj_p-value	bin_location	bin_width	total_width	sites_in_bin	total_sites	p_success	 p-value	mult_tests
   3	MA0167.1 Awh                  	9.8e-002	   1.1e-004	          -9.09	         0.0	       92	        144	       10944	      16678	  0.63889	1.6e-006	        71
   3	MA0173.1 CG11617              	3.4e-001	   3.9e-004	          -7.85	         0.0	      100	        144	        3806	       5270	  0.69444	5.5e-006	        71
   3	MA0177.1 CG18599              	6.8e0000	   7.9e-003	          -4.85	         0.0	       92	        144	        5773	       8776	  0.63889	1.1e-004	        71
   3	MA0195.1 Lim3                 	3.7e-002	   4.2e-005	         -10.07	         0.0	       86	        144	       17516	      28655	  0.59722	5.9e-007	        71
   3	MA0199.1 Optix                	1.2e-001	   1.4e-004	          -8.90	         0.0	       80	        146	       11799	      20926	  0.54795	1.9e-006	        72
   3	MA0213.1 brk                  	2.8e-009	   3.2e-012	         -26.48	         0.0	       73	        143	        4975	       9051	  0.51049	4.5e-014	        71
   3	MA0215.1 btn                  	1.4e-005	   1.6e-008	         -17.97	         0.0	       88	        144	       10345	      16295	  0.61111	2.2e-010	        71
   3	MA0227.1 hth                  	4.3e-002	   4.9e-005	          -9.91	         0.0	      119	        145	        9284	      11077	  0.82069	6.9e-007	        72
   3	MA0236.1 otp                  	4.1e0000	   4.7e-003	          -5.36	         0.0	       88	        144	        9519	      15200	  0.61111	6.6e-005	        71
   3	MA0242.1 run::Bgb             	8.7e-002	   1.0e-004	          -9.21	         0.0	       74	        142	        4623	       8458	  0.52113	1.4e-006	        70
   3	MA0243.1 sd                   	6.9e-012	   7.9e-015	         -32.47	         0.0	       73	        139	       18752	      34262	  0.52518	1.1e-016	        69
   3	MA0244.1 slbo                 	4.1e-019	   4.7e-022	         -49.11	         0.0	       91	        143	       26348	      39898	  0.63636	6.6e-024	        71
   3	MA0254.1 vvl                  	5.0e0000	   5.8e-003	          -5.15	         0.0	       61	        145	       14597	      33881	  0.42069	8.0e-005	        72
   3	MA0255.1 z                    	8.8e-059	   1.0e-061	        -140.45	         0.0	       65	        141	       18504	      36656	  0.46099	1.4e-063	        70
   3	MA0257.1 zen2                 	2.4e-001	   2.8e-004	          -8.18	         0.0	       92	        144	        9737	      14832	  0.63889	3.9e-006	        71
   3	MA0259.1 HIF1A::ARNT          	1.5e-006	   1.7e-009	         -20.17	         0.0	       77	        143	        5815	      10185	  0.53846	2.4e-011	        71
   3	MA0271.1 ARG80                	5.8e-130	   6.6e-133	        -304.35	         0.0	       87	        145	       21418	      32124	  0.60000	9.2e-135	        72
   3	MA0272.1 ARG81                	8.2e-169	   9.5e-172	        -393.80	         0.0	       85	        143	       15505	      22648	  0.59441	1.3e-173	        71
   3	MA0278.1 BAS1                 	1.7e-006	   1.9e-009	         -20.08	         0.0	       54	        130	        4374	       9758	  0.41538	3.0e-011	        64
   3	MA0279.1 CAD1                 	1.0e-019	   1.2e-022	         -50.49	         0.0	       97	        141	        3188	       4200	  0.68794	1.7e-024	        70
   3	MA0281.1 CBF1                 	2.7e-005	   3.1e-008	         -17.29	         0.0	       33	        143	         892	       3215	  0.23077	4.4e-010	        71
   3	MA0283.1 CHA4                 	5.8e-003	   6.7e-006	         -11.91	         0.0	      115	        143	        7461	       9036	  0.80420	9.5e-008	        71
   3	MA0286.1 CST6                 	6.7e-009	   7.7e-012	         -25.59	         0.0	      102	        142	        5048	       6657	  0.71831	1.1e-013	        70
   3	MA0288.1 CUP9                 	1.4e-001	   1.6e-004	          -8.73	         0.0	       94	        142	       12309	      18155	  0.66197	2.3e-006	        70
   3	MA0291.1 DAL82                	3.4e-002	   3.9e-005	         -10.15	         0.0	       44	        142	        2608	       7769	  0.30986	5.6e-007	        70
   3	MA0295.1 FHL1                 	7.8e-009	   9.0e-012	         -25.43	         0.0	       95	        143	        3258	       4557	  0.66434	1.3e-013	        71
   3	MA0303.1 GCN4                 	2.6e-282	   2.9e-285	        -655.16	         0.0	       66	        130	       13772	      21887	  0.50769	4.6e-287	        64
   3	MA0304.1 GCR1                 	1.2e-005	   1.4e-008	         -18.10	         0.0	      103	        143	       15534	      21005	  0.72028	1.9e-010	        71
   3	MA0310.1 HAC1                 	8.2e-002	   9.4e-005	          -9.27	         0.0	       79	        143	        1779	       2989	  0.55245	1.3e-006	        71
   3	MA0314.1 HAP3                 	1.9e-004	   2.1e-007	         -15.36	         0.0	       98	        136	        1408	       1804	  0.72059	3.2e-009	        67
   3	MA0315.1 HAP4                 	2.4e-001	   2.7e-004	          -8.21	         0.0	       90	        136	        6226	       9105	  0.66176	4.1e-006	        67
   3	MA0316.1 HAP5                 	8.0e-002	   9.2e-005	          -9.30	         0.0	       94	        136	        5901	       8254	  0.69118	1.4e-006	        67
   3	MA0319.1 HSF1                 	2.1e-003	   2.4e-006	         -12.93	         0.0	      115	        143	       24834	      30419	  0.80420	3.4e-008	        71
   3	MA0320.1 IME1                 	3.4e0000	   3.9e-003	          -5.55	         0.0	      105	        143	        1274	       1641	  0.73427	5.5e-005	        71
   3	MA0322.1 INO4                 	3.2e0000	   3.7e-003	          -5.61	         0.0	       24	        142	        2269	      12455	  0.16901	5.2e-005	        70
   3	MA0325.1 LYS14                	3.1e-030	   3.5e-033	         -74.72	         0.0	       99	        143	       15309	      20941	  0.69231	5.0e-035	        71
   3	MA0326.1 MAC1                 	2.2e-004	   2.5e-007	         -15.19	         0.0	       85	        143	        3986	       6326	  0.59441	3.6e-009	        71
   3	MA0329.1 MBP1                 	1.0e-009	   1.2e-012	         -27.45	         0.0	       82	        144	        6760	      11176	  0.56944	1.7e-014	        71
   3	MA0330.1 MBP1::SWI6           	6.1e-004	   7.0e-007	         -14.17	         0.0	      106	        144	        4548	       5922	  0.73611	9.9e-009	        71
   3	MA0332.1 MET28                	4.6e-001	   5.3e-004	          -7.54	         0.0	      133	        145	        9032	       9721	  0.91724	7.4e-006	        72
   3	MA0350.1 TOD6                 	9.7e-002	   1.1e-004	          -9.10	         0.0	       80	        130	        5603	       8762	  0.61538	1.7e-006	        64
   3	MA0351.1 DOT6                 	3.2e0000	   3.7e-003	          -5.60	         0.0	       20	        130	        1776	      10603	  0.15385	5.8e-005	        64
   3	MA0354.1 PDR8                 	1.7e0000	   1.9e-003	          -6.27	         0.0	      117	        143	        3192	       3785	  0.81818	2.7e-005	        71
   3	MA0357.1 PHO4                 	3.3e-001	   3.8e-004	          -7.88	         0.0	       65	        143	        3828	       7990	  0.45455	5.4e-006	        71
   3	MA0360.1 RDR1                 	1.0e0000	   1.2e-003	          -6.75	         0.0	      107	        143	        1672	       2125	  0.74825	1.7e-005	        71
   3	MA0361.1 RDS1                 	7.9e-001	   9.1e-004	          -7.00	         0.0	       76	        144	        6239	      11395	  0.52778	1.3e-005	        71
   3	MA0368.1 RIM101               	6.7e-006	   7.7e-009	         -18.68	         0.0	      106	        144	        4841	       6279	  0.73611	1.1e-010	        71
   3	MA0369.1 RLM1                 	2.4e0000	   2.7e-003	          -5.91	         0.0	       99	        133	         658	        819	  0.74436	4.1e-005	        66
   3	MA0373.1 RPN4                 	2.2e0000	   2.5e-003	          -5.99	         0.0	       34	        144	        2483	       9800	  0.23611	3.5e-005	        71
   3	MA0374.1 RSC3                 	3.5e0000	   4.0e-003	          -5.51	         0.0	       76	        144	        3477	       6298	  0.52778	5.7e-005	        71
   3	MA0376.1 RTG3                 	1.4e-002	   1.6e-005	         -11.04	         0.0	      109	        131	        5437	       6357	  0.83206	2.5e-007	        65
   3	MA0394.1 STP1                 	3.0e-006	   3.5e-009	         -19.47	         0.0	       99	        143	        7053	       9765	  0.69231	4.9e-011	        71
   3	MA0395.1 STP2                 	6.1e-002	   7.0e-005	          -9.56	         0.0	       71	        131	        4134	       7256	  0.54198	1.1e-006	        65
   3	MA0406.1 TEC1                 	1.4e-044	   1.6e-047	        -107.77	         0.0	       81	        143	       15515	      25349	  0.56643	2.2e-049	        71
   3	MA0408.1 TOS8                 	9.1e-004	   1.0e-006	         -13.77	         0.0	       99	        143	       13374	      18813	  0.69231	1.5e-008	        71
   3	MA0410.1 UGA3                 	1.5e-001	   1.8e-004	          -8.64	         0.0	      109	        143	        7578	       9693	  0.76224	2.5e-006	        71
   3	MA0415.1 YAP1                 	1.3e-001	   1.5e-004	          -8.79	         0.0	       97	        131	        1806	       2311	  0.74046	2.3e-006	        65
   3	MA0419.1 YAP7                 	2.0e-174	   2.3e-177	        -406.74	         0.0	       88	        140	       12730	      17425	  0.62857	3.3e-179	        69
   3	MA0420.1 YBR239C              	4.7e-001	   5.3e-004	          -7.53	         0.0	       91	        143	        2775	       4150	  0.63636	7.5e-006	        71
   3	MA0424.1 YER184C              	1.6e-001	   1.8e-004	          -8.60	         0.0	       71	        143	        6836	      13240	  0.49650	2.6e-006	        71
   3	MA0429.1 YLL054C              	6.5e-001	   7.5e-004	          -7.20	         0.0	       82	        144	       10003	      17082	  0.56944	1.1e-005	        71
   3	MA0438.1 YRM1                 	5.0e-006	   5.7e-009	         -18.98	         0.0	      111	        143	       13417	      16843	  0.77622	8.0e-011	        71
   3	MA0447.1 gt                   	2.2e-015	   2.5e-018	         -40.53	         0.0	       93	        141	        2404	       3277	  0.65957	3.6e-020	        70
   3	MA0449.1 h                    	2.9e-007	   3.3e-010	         -21.83	         0.0	      105	        141	        8438	      10919	  0.74468	4.7e-012	        70
   3	MA0450.1 hkb                  	1.4e-001	   1.6e-004	          -8.74	         0.0	       38	        142	        1800	       6126	  0.26761	2.3e-006	        70
   4	UP00020_1 Atf1_primary        	3.1e-021	   3.6e-024	         -53.98	         0.0	      101	        135	        4146	       5119	  0.74815	5.4e-026	        67
   4	UP00050_1 Bhlhb2_primary      	9.6e-004	   1.1e-006	         -13.71	         0.0	       85	        129	        4028	       5813	  0.65891	1.7e-008	        64
   4	UP00001_1 E2F2_primary        	1.0e-002	   1.2e-005	         -11.33	         0.0	       58	        136	        2685	       5843	  0.42647	1.8e-007	        67
   4	UP00003_1 E2F3_primary        	5.2e-004	   6.0e-007	         -14.33	         0.0	       82	        136	        2853	       4429	  0.60294	8.9e-009	        67
   4	UP00015_1 Ehf_primary         	2.7e-006	   3.1e-009	         -19.60	         0.0	       90	        136	       15953	      23401	  0.66176	4.6e-011	        67
   4	UP00407_1 Elf3_primary        	1.3e-002	   1.5e-005	         -11.13	         0.0	      110	        138	       24316	      30066	  0.79710	2.2e-007	        68
   4	UP00408_1 Gabpa_primary       	4.9e-013	   5.6e-016	         -35.11	         0.0	       80	        134	        6170	       9652	  0.59701	8.5e-018	        66
   4	UP00084_1 Gmeb1_primary       	1.1e-007	   1.3e-010	         -22.76	         0.0	       60	        134	        3847	       7904	  0.44776	2.0e-012	        66
   4	UP00055_1 Hbp1_primary        	9.2e-008	   1.1e-010	         -22.97	         0.0	       71	        135	        8374	      15109	  0.52593	1.6e-012	        67
   4	UP00103_1 Jundm2_primary      	6.3e-022	   7.2e-025	         -55.59	         0.0	      101	        135	        4380	       5414	  0.74815	1.1e-026	        67
   4	UP00045_1 Mafb_primary        	1.5e-020	   1.8e-023	         -52.39	         0.0	       78	        134	        9468	      15191	  0.58209	2.7e-025	        66
   4	UP00044_1 Mafk_primary        	3.2e-010	   3.6e-013	         -28.64	         0.0	       92	        136	       15194	      21679	  0.67647	5.4e-015	        67
   4	UP00049_1 Sp100_primary       	9.2e0000	   1.1e-002	          -4.55	         0.0	        3	        137	         250	       9021	  0.02190	1.6e-004	        68
   4	UP00406_1 Spdef_primary       	1.7e-001	   2.0e-004	          -8.52	         0.0	       89	        135	        9617	      14201	  0.65926	3.0e-006	        67
   4	UP00065_1 Zfp161_primary      	5.8e-001	   6.7e-004	          -7.31	         0.0	       87	        135	        3155	       4679	  0.64444	9.9e-006	        67
   4	UP00020_2 Atf1_secondary      	1.9e-041	   2.2e-044	        -100.51	         0.0	       91	        137	       18331	      25984	  0.66423	3.3e-046	        68
   4	UP00001_2 E2F2_secondary      	1.2e-002	   1.3e-005	         -11.22	         0.0	       70	        134	        6119	      11201	  0.52239	2.0e-007	        66
   4	UP00003_2 E2F3_secondary      	9.5e-003	   1.1e-005	         -11.43	         0.0	       70	        134	        5136	       9359	  0.52239	1.6e-007	        66
   4	UP00015_2 Ehf_secondary       	1.9e0000	   2.1e-003	          -6.14	         0.0	      109	        135	       18298	      22372	  0.80741	3.2e-005	        67
   4	UP00103_2 Jundm2_secondary    	1.9e-332	   2.2e-335	        -770.57	         0.0	       67	        135	       14537	      23286	  0.49630	3.3e-337	        67
   4	UP00067_2 Lef1_secondary      	4.7e-016	   5.4e-019	         -42.07	         0.0	       81	        135	       10989	      17322	  0.60000	8.0e-021	        67
   4	UP00060_2 Max_secondary       	7.9e-013	   9.1e-016	         -34.64	         0.0	      105	        137	       16921	      21403	  0.76642	1.3e-017	        68
   4	UP00014_2 Sox17_secondary     	4.0e-006	   4.6e-009	         -19.19	         0.0	       78	        134	       20570	      34332	  0.58209	7.0e-011	        66
   4	UP00091_2 Sox5_secondary      	9.8e-002	   1.1e-004	          -9.09	         0.0	       66	        136	       15897	      31902	  0.48529	1.7e-006	        67
   4	UP00051_2 Sox8_secondary      	7.5e-010	   8.6e-013	         -27.78	         0.0	       81	        137	       19261	      31455	  0.59124	1.3e-014	        68
   4	UP00049_2 Sp100_secondary     	6.0e0000	   6.9e-003	          -4.98	         0.0	      102	        136	        6493	       8461	  0.75000	1.0e-004	        67
   4	UP00083_2 Tcf7l2_secondary    	5.7e-014	   6.5e-017	         -37.27	         0.0	       63	        135	        9545	      19155	  0.46667	9.8e-019	        67
   4	UP00031_2 Zbtb3_secondary     	3.3e0000	   3.8e-003	          -5.57	         0.0	       77	        135	       21169	      36474	  0.57037	5.7e-005	        67
   4	UP00037_2 Zfp105_secondary    	1.0e-012	   1.2e-015	         -34.36	         0.0	       68	        134	       14706	      27601	  0.50746	1.8e-017	        66
   4	UP00065_2 Zfp161_secondary    	1.8e0000	   2.1e-003	          -6.17	         0.0	       53	        137	        3878	       9529	  0.38686	3.1e-005	        68
   4	UP00095_2 Zfp691_secondary    	3.3e-040	   3.8e-043	         -97.66	         0.0	       58	        134	       14665	      31044	  0.43284	5.8e-045	        66
   4	UP00057_2 Zic2_secondary      	2.8e0000	   3.2e-003	          -5.75	         0.0	       48	        136	        8448	      23130	  0.35294	4.8e-005	        67
   4	UP00006_2 Zic3_secondary      	3.1e0000	   3.6e-003	          -5.64	         0.0	       16	        136	        2896	      22986	  0.11765	5.3e-005	        67
   4	UP00181_1 Barx1_2877.1        	5.6e-004	   6.5e-007	         -14.25	         0.0	       67	        135	        6504	      12473	  0.49630	9.6e-009	        67
   4	UP00151_1 Barx2_3447.2        	9.3e-001	   1.1e-003	          -6.84	         0.0	       67	        135	        4956	       9575	  0.49630	1.6e-005	        67
   4	UP00138_1 Bsx_3483.2          	2.0e0000	   2.3e-003	          -6.06	         0.0	       89	        135	        8982	      13296	  0.65926	3.5e-005	        67
   4	UP00198_1 Cphx_3484.1         	1.4e-012	   1.6e-015	         -34.04	         0.0	       95	        137	        6398	       8712	  0.69343	2.4e-017	        68
   4	UP00219_2 Cutl1_3494.2        	1.8e-003	   2.1e-006	         -13.07	         0.0	       86	        136	       11536	      17695	  0.63235	3.2e-008	        67
   4	UP00201_1 Emx2_3420.1         	4.3e0000	   4.9e-003	          -5.32	         0.0	       60	        134	        3014	       6394	  0.44776	7.4e-005	        66
   4	UP00162_1 Evx1_3952.2         	3.1e-007	   3.6e-010	         -21.76	         0.0	       60	        134	        3927	       8089	  0.44776	5.4e-012	        66
   4	UP00204_1 Gbx1_2883.2         	4.0e0000	   4.6e-003	          -5.37	         0.0	       14	        134	         818	       6879	  0.10448	7.1e-005	        66
   4	UP00131_1 Gbx2_3110.1         	4.4e-001	   5.0e-004	          -7.59	         0.0	       92	        134	        3646	       5102	  0.68657	7.7e-006	        66
   4	UP00148_1 Hdx_3845.3          	9.6e-001	   1.1e-003	          -6.81	         0.0	      104	        134	       22276	      28328	  0.77612	1.7e-005	        66
   4	UP00123_1 Hlxb9_3422.1        	3.8e-002	   4.4e-005	         -10.03	         0.0	       57	        135	        2800	       6183	  0.42222	6.6e-007	        67
   4	UP00391_3 Hoxa3_2783.2        	4.4e-002	   5.1e-005	          -9.89	         0.0	       89	        137	        5698	       8448	  0.64964	7.4e-007	        68
   4	UP00196_1 Hoxa4_3426.1        	3.7e0000	   4.3e-003	          -5.45	         0.0	       94	        134	        4949	       6849	  0.70149	6.5e-005	        66
   4	UP00137_1 Hoxb3_1720.2        	3.1e-006	   3.5e-009	         -19.47	         0.0	       54	        134	        5957	      13852	  0.40299	5.3e-011	        66
   4	UP00144_1 Hoxb4_2627.1        	4.1e-001	   4.7e-004	          -7.65	         0.0	       66	        134	        4268	       8263	  0.49254	7.2e-006	        66
   4	UP00214_1 Hoxb5_3122.2        	7.5e0000	   8.7e-003	          -4.75	         0.0	       91	        135	        6627	       9583	  0.67407	1.3e-004	        67
   4	UP00259_1 Hoxb6_3428.2        	2.6e-009	   3.0e-012	         -26.55	         0.0	       85	        135	       10951	      16658	  0.62963	4.4e-014	        67
   4	UP00252_1 Hoxc5_2630.2        	1.9e-001	   2.2e-004	          -8.44	         0.0	       84	        134	        5992	       9226	  0.62687	3.3e-006	        66
   4	UP00241_1 Hoxd3_1742.2        	8.8e-001	   1.0e-003	          -6.90	         0.0	       85	        135	        8370	      12930	  0.62963	1.5e-005	        67
   4	UP00124_1 Ipf1_3815.1         	1.4e-007	   1.6e-010	         -22.58	         0.0	       89	        135	        8117	      11776	  0.65926	2.3e-012	        67
   4	UP00175_1 Lhx9_3492.1         	6.6e0000	   7.6e-003	          -4.88	         0.0	      116	        134	        6801	       7730	  0.86567	1.2e-004	        66
   4	UP00139_1 Nkx1-2_3214.1       	6.0e0000	   6.8e-003	          -4.98	         0.0	       66	        134	        5996	      11764	  0.49254	1.0e-004	        66
   4	UP00200_2 Nkx6-1_2825.2       	1.6e0000	   1.8e-003	          -6.30	         0.0	      103	        135	        6718	       8598	  0.76296	2.7e-005	        67
   4	UP00238_1 Nkx6-3_3446.1       	1.6e0000	   1.8e-003	          -6.33	         0.0	       60	        134	        4825	      10318	  0.44776	2.7e-005	        66
   4	UP00224_1 Pax6_3838.3         	2.0e-004	   2.3e-007	         -15.30	         0.0	       65	        135	        6561	      12941	  0.48148	3.4e-009	        67
   4	UP00185_1 Pbx1_3203.1         	3.9e-003	   4.4e-006	         -12.33	         0.0	      100	        134	       17527	      23022	  0.74627	6.7e-008	        66
